schema_version,session_id,mode,frame_index,wall_time_ns,x,y,z,yaw_deg,pitch_deg,quat_x,quat_y,quat_z,quat_w,right_x,right_y,right_z,up_x,up_y,up_z,back_x,back_y,back_z,fov_deg,width,height,dimension,source
1,20260914-194915-flashback_export,flashback_export,0,31736268280700,71.558054361,-58.380000114,30.120983899,178.5937500,-18.2812500,0.158846185,0.012115741,-0.001949439,0.987227023,0.999698818,-0.000000000,-0.024541300,0.007698158,0.949528158,0.313587278,0.023302654,-0.313681751,0.949242175,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
1,20260914-194915-flashback_export,flashback_export,1,31736298732400,71.558054361,-58.380000114,30.120983899,178.5937500,-18.2812500,0.158846185,0.012115741,-0.001949439,0.987227023,0.999698818,-0.000000000,-0.024541300,0.007698158,0.949528158,0.313587278,0.023302654,-0.313681751,0.949242175,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
1,20260914-194915-flashback_export,flashback_export,2,31736864982000,71.558054361,-58.380000114,30.120983899,178.5937500,-18.2812500,0.158846185,0.012115741,-0.001949439,0.987227023,0.999698818,-0.000000000,-0.024541300,0.007698158,0.949528158,0.313587278,0.023302654,-0.313681751,0.949242175,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
1,20260914-194915-flashback_export,flashback_export,3,31736903087700,71.558054361,-58.380000114,30.120983899,178.5937500,-18.2812500,0.158846185,0.012115741,-0.001949439,0.987227023,0.999698818,-0.000000000,-0.024541300,0.007698158,0.949528158,0.313587278,0.023302654,-0.313681751,0.949242175,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
1,20260914-194915-flashback_export,flashback_export,4,31736915065300,71.558054361,-58.380000114,30.120983899,178.5937500,-18.1333332,0.157571703,0.012118247,-0.001933798,0.987431228,0.999698877,-0.000000000,-0.024541302,0.007637974,0.950334907,0.311135620,0.023322454,-0.311229378,0.950048685,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
1,20260914-194915-flashback_export,flashback_export,5,31736950165100,71.558054361,-58.380000114,30.120983899,178.5937500,-17.9854183,0.156297013,0.012120734,-0.001918155,0.987633884,0.999698758,-0.000000000,-0.024541296,0.007577737,0.951135099,0.308681935,0.023342090,-0.308774918,0.950848579,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
1,20260914-194915-flashback_export,flashback_export,6,31736974636200,71.558054361,-58.380000114,30.120983899,179.5510406,-16.9500027,0.147376746,0.003875140,-0.000577415,0.989072621,0.999969304,0.000000000,-0.007835785,0.002284422,0.956559539,0.291528165,0.007495395,-0.291537106,0.956530154,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
1,20260914-194915-flashback_export,flashback_export,7,31736996602800,71.558054361,-58.380000114,30.120983899,179.5510406,-16.9500027,0.147376746,0.003875140,-0.000577415,0.989072621,0.999969304,0.000000000,-0.007835785,0.002284422,0.956559539,0.291528165,0.007495395,-0.291537106,0.956530154,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
1,20260914-194915-flashback_export,flashback_export,8,31737018625900,71.558054361,-58.380000114,30.120983899,179.5510406,-16.9500027,0.147376746,0.003875140,-0.000577415,0.989072621,0.999969304,0.000000000,-0.007835785,0.002284422,0.956559539,0.291528165,0.007495395,-0.291537106,0.956530154,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
1,20260914-194915-flashback_export,flashback_export,9,31737042943600,71.558054361,-58.380000114,30.120983899,179.5510406,-16.9500027,0.147376746,0.003875140,-0.000577415,0.989072621,0.999969304,0.000000000,-0.007835785,0.002284422,0.956559539,0.291528165,0.007495395,-0.291537106,0.956530154,70.0000000,1280,720,minecraft:overworld,flashback_export_aligned
